%
%
% Run:run1  Table:punten            SWASH version:11.01ABC
%
%       Xp            Yp            Hsig
%       [m]           [m]           [m]
%
   1100.00000    2650.00000       0.47604
   1100.00000    2755.00000       0.33785
   1586.00000    1013.00000       2.40921
   1487.00000    1046.00000       2.49901
   1537.00000    1146.00000       2.38052
   1455.00000    1361.00000       2.14865
   1352.00000    1644.00000       1.87054
   1310.00000    1892.00000       1.35539
   1228.00000    2077.00000       1.10411
   1412.00000    2242.00000       1.00158
   1544.00000    2477.00000       0.92826
   1254.00000    2524.00000       0.95214
   1403.00000    2527.00000       1.04172
   1693.00000    2477.00000       0.67364
   1791.00000    2477.00000       0.44921
   1933.00000    2342.00000       0.31981
   1957.00000    2192.00000       0.23754
   1873.00000    2026.00000       0.36586
   1643.00000    1926.00000       0.36067
   1329.00000    2477.00000       0.94578
    899.00000    2512.00000       0.78487
   1069.00000    2694.00000       0.54877
    916.00000    2876.00000       0.66758
    935.00000    3192.00000       0.43083
   1116.00000    3194.00000       0.20495
   1035.00000     329.00000       2.54253
   1929.00000     326.00000       2.45358
   1563.00000    1079.00000       2.37091
